tid,competition_name,type,win,goals_for,goals_against,game_count,team_name,tricode,pp,pk,ppgf,win_pct,avg_gf,avg_ga
18,2015 NHL Playoff,3,1.0,8.0,12.0,5,Detroit Red Wings,DET,35,37,3.0,0.2,2.825894304549876,2.825894304549876
18,2015 NHL Regular Season,2,40.0,209.0,220.0,79,Detroit Red Wings,DET,324,318,59.0,0.5063291139240507,2.825894304549876,2.825894304549876
18,2016 NHL Regular Season,2,33.0,213.0,250.0,82,Detroit Red Wings,DET,302,322,46.0,0.4024390243902439,2.825894304549876,2.825894304549876
18,2017 NHL Regular Season,2,29.0,212.0,249.0,79,Detroit Red Wings,DET,293,278,48.0,0.3670886075949367,2.825894304549876,2.825894304549876
19,2010 NHL Playoff,3,6.0,33.0,33.0,12,Nashville Predators,NSH,49,60,7.0,0.5,2.825894304549876,2.825894304549876
19,2010 NHL Regular Season,2,44.0,215.0,189.0,80,Nashville Predators,NSH,315,308,53.0,0.55,2.825894304549876,2.825894304549876
19,2011 NHL Playoff,3,5.0,22.0,21.0,10,Nashville Predators,NSH,43,48,7.0,0.5,2.825894304549876,2.825894304549876
19,2011 NHL Regular Season,2,21.0,106.0,113.0,40,Nashville Predators,NSH,170,164,37.0,0.525,2.825894304549876,2.825894304549876
19,2012 NHL Regular Season,2,16.0,117.0,145.0,47,Nashville Predators,NSH,178,177,33.0,0.3404255319148936,2.825894304549876,2.825894304549876
19,2013 NHL Regular Season,2,38.0,221.0,248.0,81,Nashville Predators,NSH,305,310,61.0,0.4691358024691358,2.825894304549876,2.825894304549876
19,2014 NHL Playoff,3,2.0,21.0,19.0,6,Nashville Predators,NSH,24,28,6.0,0.3333333333333333,2.825894304549876,2.825894304549876
19,2014 NHL Regular Season,2,46.0,235.0,216.0,81,Nashville Predators,NSH,287,312,45.0,0.5679012345679012,2.825894304549876,2.825894304549876
19,2015 NHL Playoff,3,7.0,31.0,43.0,14,Nashville Predators,NSH,57,53,4.0,0.5,2.825894304549876,2.825894304549876
19,2015 NHL Regular Season,2,40.5,222.0,208.0,79,Nashville Predators,NSH,305,310,59.0,0.5126582278481012,2.825894304549876,2.825894304549876
19,2016 NHL Playoff,3,13.0,58.0,47.0,21,Nashville Predators,NSH,88,92,19.0,0.6190476190476191,2.825894304549876,2.825894304549876
19,2016 NHL Regular Season,2,40.0,234.0,224.0,81,Nashville Predators,NSH,317,333,50.0,0.49382716049382713,2.825894304549876,2.825894304549876
19,2017 NHL Playoff,3,7.0,41.0,42.0,13,Nashville Predators,NSH,52,53,8.0,0.5384615384615384,2.825894304549876,2.825894304549876
19,2017 NHL Regular Season,2,52.0,268.0,215.0,81,Nashville Predators,NSH,365,334,58.0,0.6419753086419753,2.825894304549876,2.825894304549876
20,2010 NHL Playoff,3,16.0,76.0,48.0,24,Boston Bruins,BOS,126,116,22.0,0.6666666666666666,2.825894304549876,2.825894304549876
20,2010 NHL Regular Season,2,46.0,250.0,200.0,82,Boston Bruins,BOS,368,370,74.0,0.5609756097560976,2.825894304549876,2.825894304549876
20,2011 NHL Playoff,3,3.0,15.0,16.0,7,Boston Bruins,BOS,25,29,2.0,0.42857142857142855,2.825894304549876,2.825894304549876
20,2011 NHL Regular Season,2,25.0,136.0,69.0,36,Boston Bruins,BOS,190,181,36.0,0.6944444444444444,2.825894304549876,2.825894304549876
20,2012 NHL Playoff,3,14.0,65.0,47.0,22,Boston Bruins,BOS,97,92,23.0,0.6363636363636364,2.825894304549876,2.825894304549876
20,2012 NHL Regular Season,2,27.0,131.0,111.0,47,Boston Bruins,BOS,213,168,25.0,0.574468085106383,2.825894304549876,2.825894304549876
