,batterName,Run_Value
399,Heredia,-3.3831684241248965
9,Ahmed,-3.3837973174692686
203,Davies,-3.39956299860424
150,"Castro, S",-3.439557672319002
811,Senzatela,-3.442343329575839
339,"Gonzalez, A",-3.443170944876589
35,Archer,-3.464188378377271
529,Lyles,-3.467929108305856
599,Mitchell,-3.468094583588231
915,"Urena, R",-3.5003616568013873
341,"Gonzalez, E",-3.5200795644218097
622,"Murphy, To",-3.5203709041698175
688,Phegley,-3.5312842717282673
369,Guillorme,-3.5595378684871264
959,"Wilkerson, S",-3.575767077564769
411,Herrmann,-3.5768757056769527
652,Orf,-3.590872726896143
682,Peterson,-3.5970693110233927
876,"Suzuki, I",-3.6288888463284352
201,Darvish,-3.6458589402235715
692,Pinder,-3.691774087949443
902,Torreyes,-3.6958337042695137
432,Hundley,-3.7490545109345246
115,Bruce,-3.75830835648643
977,Wynns,-3.7882988863103506
471,Kershaw,-3.845808910983366
403,"Hernandez, E",-3.848165433206754
749,"Robinson, D",-3.864216085400621
30,Andreoli,-3.8776625983186475
942,Wacha,-3.8796495437534864
535,Mahle,-3.8983018056564758
122,Butera,-3.902861271260079
801,Scherzer,-3.9582714336986506
400,Hermosillo,-3.983511601163332
217,"Dean, A",-4.012156141199587
544,Marjama,-4.060830562086802
226,Dickerson,-4.071181449758093
636,Nix,-4.071842718061898
546,Marquez,-4.0913385998583065
98,Bour,-4.182149679124675
719,"Rasmus, Col",-4.204968691047453
772,"Ross, T",-4.206358675783928
592,Miley,-4.210655600053211
707,Prado,-4.222031481754514
189,Cozens,-4.229771221453204
917,Urshela,-4.260449524224826
848,Spangenberg,-4.263407099427147
548,"Marte, J",-4.274689980757558
543,Marisnick,-4.277938813047955
104,Brault,-4.297173607085006
796,Santander,-4.304643812125431
589,Mesoraco,-4.314238644895913
260,Fedde,-4.3337500727626725
252,Erlin,-4.38758660690725
464,"Kelly, C",-4.3877630161219106
360,Greinke,-4.411540612896219
223,"Diaz, A",-4.461357302555287
416,Higashioka,-4.470154267711859
119,Bumgarner,-4.47390392311518
583,"Mejia, F",-4.507230843347443
366,"Guerra, Ju",-4.5840188933979595
204,Davis,-4.604373750782126
934,Villanueva,-4.619623688571963
727,Reinheimer,-4.666094227078979
214,DeSclafani,-4.67843452170733
989,d'Arnaud,-4.73887070278358
873,Susac,-4.750782488040291
896,Tilson,-4.758498350700827
377,Hamels,-4.766589208566975
829,"Smith, Ca",-4.827847983717825
91,Blash,-4.846429124076522
828,Slater,-4.880357820428063
594,"Miller, B",-4.881760542353104
160,Chatwood,-4.89648061667528
670,Pennington,-4.953403795607537
347,"Gordon, A",-4.966644931922451
222,Devers,-5.0366932374883495
947,"Walker, C",-5.052287519638909
136,Caratini,-5.083566849932072
117,Buchholz,-5.086456526508671
568,McCarthy,-5.09390485132003
865,Stripling,-5.095578581278896
831,"Smith, Do",-5.117780549475534
624,Musgrove,-5.131365014826187
408,"Herrera, D",-5.134174146500635
931,Verdugo,-5.158166211821064
487,Kramer,-5.197812559312071
672,"Peralta, F",-5.20587393198265
520,"Lopez, R",-5.331030678071146
435,Iannetta,-5.336277116086459
52,Bandy,-5.339350904290753
924,Vargas,-5.371085078867641
179,Contreras,-5.406198769089831
307,Gant,-5.4094495723134255
561,Maxwell,-5.4565116425509235
984,Zimmer,-5.684702214458911
810,Semien,-5.768175253994729
323,Gerber,-5.768486668867537
562,Maybin,-5.826413570710309
284,Franco,-5.860496751325227
899,Tomlinson,-5.942718312532688
444,Jay,-5.980973600675988
846,Souza Jr.,-6.00941227247161
943,Wade,-6.02081313164054
415,"Hicks, J",-6.050810861104341
183,Cordell,-6.070482370835951
777,Russell,-6.108488658804362
495,Lauer,-6.115513179733947
617,Mullins,-6.129690869828981
79,Bettis,-6.148994588638983
887,Tauchman,-6.1510698199074145
922,"Valentin, J",-6.176643883046938
532,"Machado, D",-6.1921833762298855
