shoot_player,shot_count,avg_shot_game
Quincy Acy,170,4.594594594594595
Quinn Cook,65,5.416666666666667
RJ Hunter,1,1.0
Rajon Rondo,561,8.25
Rakeem Christmas,42,2.1
Ramon Sessions,263,5.26
Randy Foye,325,4.850746268656716
Rashad Vaughn,156,5.2
Raul Neto,92,3.066666666666667
Raymond Felton,514,6.425
Reggie Bullock,128,4.413793103448276
Reggie Jackson,677,13.01923076923077
Reggie Williams,23,3.8333333333333335
Richard Jefferson,343,4.397435897435898
Richaun Holmes,412,7.228070175438597
Ricky Rubio,648,8.64
Robert Covington,733,10.940298507462687
Robin Lopez,775,9.6875
Rodney Hood,665,11.271186440677965
Rodney McGruder,459,6.12
Rodney Stuckey,244,6.256410256410256
Ron Baker,217,4.931818181818182
Rondae Hollis-Jefferson,541,6.935897435897436
Ronnie Price,24,3.4285714285714284
Roy Hibbert,147,3.5
Rudy Gay,442,14.733333333333333
Rudy Gobert,623,7.691358024691358
Russell Westbrook,1940,23.950617283950617
Ryan Anderson,773,10.73611111111111
Ryan Kelly,28,2.5454545454545454
Salah Mejri,137,2.4909090909090907
Sam Dekker,429,5.72
Sasha Vujacic,136,3.7777777777777777
Sean Kilpatrick,734,10.485714285714286
Semaj Christon,224,3.8620689655172415
Serge Ibaka,982,12.430379746835444
Sergio Rodriguez,536,7.882352941176471
Seth Curry,702,10.028571428571428
Shabazz Muhammad,598,7.666666666666667
Shabazz Napier,183,4.357142857142857
Shaun Livingston,314,4.243243243243243
Shawn Long,108,6.352941176470588
Sheldon McClellan,75,3.75
Shelvin Mack,381,7.055555555555555
Skal Labissiere,217,7.233333333333333
Solomon Hill,476,5.95
Spencer Dinwiddie,303,5.224137931034483
Spencer Hawes,277,5.653061224489796
Stanley Johnson,365,4.866666666666666
Stephen Curry,1444,18.27848101265823
Stephen Zimmerman,31,2.066666666666667
Steve Novak,7,1.0
Steven Adams,654,8.175
TJ McConnell,512,6.481012658227848
TJ Warren,813,12.318181818181818
Taj Gibson,708,9.076923076923077
Tarik Black,293,4.578125
Taurean Prince,286,5.5
Terrence Jones,491,9.092592592592593
Terrence Ross,746,9.564102564102564
Terry Rozier,411,5.63013698630137
Thabo Sefolosha,394,6.459016393442623
Thaddeus Young,687,9.283783783783784
Thomas Robinson,196,4.558139534883721
Thon Maker,181,3.549019607843137
Tiago Splitter,31,3.875
Tim Frazier,404,6.412698412698413
Tim Hardaway Jr.,912,11.544303797468354
Tim Quarterman,29,2.9
Timofey Mozgov,328,6.074074074074074
Timothe Luwawu-Cabarrot,360,5.454545454545454
Tobias Harris,1064,12.975609756097562
Tomas Satoransky,146,2.92
Toney Douglas,117,5.086956521739131
Tony Allen,595,8.380281690140846
Tony Parker,569,9.031746031746032
Tony Snell,542,6.775
Treveon Graham,40,2.3529411764705883
Trevor Ariza,797,9.9625
Trevor Booker,591,8.32394366197183
Trey Burke,254,4.7924528301886795
Trey Lyles,439,6.651515151515151
Tristan Thompson,437,5.75
Troy Daniels,496,7.515151515151516
Troy Williams,154,7.333333333333333
Ty Lawson,522,7.565217391304348
Tyler Ennis,208,4.622222222222222
Tyler Johnson,829,11.356164383561644
Tyler Ulis,438,7.684210526315789
Tyler Zeller,158,3.590909090909091
Tyreke Evans,370,9.25
Tyson Chandler,228,4.851063829787234
Tyus Jones,181,3.62
Udonis Haslem,23,2.5555555555555554
Victor Oladipo,929,13.865671641791044
Vince Carter,490,6.712328767123288
Wade Baldwin IV,114,4.071428571428571
Walter Tavares,5,2.5
Wayne Ellington,555,8.951612903225806
Wayne Selden,58,4.833333333333333
Wesley Johnson,200,3.225806451612903
Wesley Matthews,847,11.602739726027398
Will Barton,667,11.116666666666667
Willie Cauley-Stein,481,6.871428571428571
Willie Reed,285,4.130434782608695
Wilson Chandler,940,13.23943661971831
Yogi Ferrell,394,8.565217391304348
Zach LaVine,710,15.106382978723405
Zach Randolph,964,13.205479452054794
Zaza Pachulia,306,4.434782608695652
